Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
3204,1016,2,0.01,0,1.013076328086853,6485260,0.01,0.0,2,0.0,0,242.82465000000013,UNSAT,,0.114,
3205,1017,5,0.01,0,1.0144532549858094,4246751,0.01,0.0,2,0.0,0,242.83465000000012,UNSAT,,0.119,
3206,1018,2,0.02,0,1.013076328086853,6954427,0.02,0.0,2,0.0,0,242.85465000000013,UNSAT,,0.116,
3207,1019,3,0.47,0,1.0645417798042298,2624977,0.47,0.0,2,0.0,0,243.32465000000013,UNSAT,,0.87,
3208,1012,3,0.06,0,1.069817029285431,8794466,0.06,0.0,2,0.0,0,243.38465000000014,UNSAT,,0.164,
3209,1020,2,0.02,0,1.013076328086853,15433965,0.02,0.0,2,0.0,0,243.40465000000015,UNSAT,,0.121,
3210,1021,4,0.01,0,1.0249045718193055,6392461,0.01,0.0,2,0.0,0,243.41465000000014,UNSAT,,0.098,
3211,1022,1,0.01,0,1.0137070644378663,7751168,0.01,0.0,2,0.0,0,243.42465000000013,UNSAT,,0.104,
3212,1012,1,0.01,0,1.0042243230819703,6413593,0.01,0.0,2,0.0,0,243.43465000000012,UNSAT,,0.171,
3213,1023,1,0.01,0,1.0137070644378663,14078301,0.01,0.0,2,0.0,0,243.4446500000001,UNSAT,,0.114,
3214,999,3,1.055052064704895,1,1.055052064704895,283292,1.02,0.0,0,0.0,0,244.46465000000012,TIMEOUT,,1.721,
3215,1024,3,1.0645417798042298,1,1.0645417798042298,3363411,1.02,0.0,0,0.0,0,245.48465000000013,TIMEOUT,,1.507,
3216,157,3,0.04,0,5.0,10998370,0.04,0.0,2,0.0,0,245.52465000000012,UNSAT,,0.176,
3217,157,5,0.02,0,5.0,12249652,0.02,0.0,2,0.0,0,245.54465000000013,UNSAT,,0.124,
3218,157,4,0.01,0,5.0,4965863,0.01,0.0,2,0.0,0,245.55465000000012,UNSAT,,0.093,
3219,157,5,0.01,0,5.0,3001708,0.01,0.0,2,0.0,0,245.5646500000001,UNSAT,,0.065,
3220,157,4,0.02,0,5.0,1535690,0.02,0.0,2,0.0,0,245.58465000000012,UNSAT,,0.095,
3221,157,2,0.01,0,5.0,16300020,0.01,0.0,2,0.0,0,245.59465000000012,UNSAT,,0.106,
3222,157,1,0.01,0,5.0,9973929,0.01,0.0,2,0.0,0,245.6046500000001,UNSAT,,0.12,
3223,157,3,0.04,0,5.0,15370901,0.04,0.0,2,0.0,0,245.6446500000001,UNSAT,,0.162,
3224,157,4,0.02,0,5.0,3844553,0.02,0.0,2,0.0,0,245.6646500000001,UNSAT,,0.114,
3225,157,5,0.0,0,5.0,14192402,0.0,0.0,2,0.0,0,245.6646500000001,UNSAT,,0.087,
3226,157,3,0.05,0,5.0,9057967,0.05,0.0,2,0.0,0,245.71465000000012,UNSAT,,0.128,
3227,157,2,0.01,0,5.0,13294944,0.01,0.0,2,0.0,0,245.7246500000001,UNSAT,,0.079,
3228,157,1,0.01,0,5.0,2735779,0.01,0.0,2,0.0,0,245.7346500000001,UNSAT,,0.064,
3229,157,1,0.01,0,5.0,8360683,0.01,0.0,2,0.0,0,245.7446500000001,UNSAT,,0.065,
3230,157,3,0.05,0,5.0,14739438,0.05,0.0,2,0.0,0,245.7946500000001,UNSAT,,0.122,
3231,157,5,0.01,0,5.0,2119506,0.01,0.0,2,0.0,0,245.8046500000001,UNSAT,,0.058,
3232,157,4,0.02,0,5.0,6227003,0.02,0.0,2,0.0,0,245.8246500000001,UNSAT,,0.071,
3233,157,2,0.01,0,5.0,2205034,0.01,0.0,2,0.0,0,245.8346500000001,UNSAT,,0.125,
3234,157,1,0.01,0,5.0,11615129,0.01,0.0,2,0.0,0,245.8446500000001,UNSAT,,0.05,
3235,157,5,0.01,0,5.0,3827758,0.01,0.0,2,0.0,0,245.85465000000008,UNSAT,,0.082,
3236,1021,4,0.01,0,1.0355085361480714,16049169,0.01,0.0,2,0.0,0,245.86465000000007,UNSAT,,0.062,
3237,1025,1,0.01,0,1.0137070644378663,12501975,0.01,0.0,2,0.0,0,245.87465000000006,UNSAT,,0.094,
3238,1026,5,0.02,0,1.0144532549858094,6366431,0.02,0.0,2,0.0,0,245.89465000000007,UNSAT,,0.122,
3239,1027,5,0.02,0,1.014506720352173,1341795,0.02,0.0,2,0.0,0,245.91465000000008,UNSAT,,0.128,
3240,1028,3,1.0645417798042298,1,1.0645417798042298,1417700,1.02,0.0,0,0.0,0,246.9346500000001,TIMEOUT,,1.494,
3241,1021,1,0.01,0,1.0243985879898072,10783096,0.01,0.0,2,0.0,0,246.94465000000008,UNSAT,,0.131,
3242,1029,1,0.01,0,1.0137775767326356,11725011,0.01,0.0,2,0.0,0,246.95465000000007,UNSAT,,0.074,
3243,157,4,0.02,0,5.0,12637163,0.02,0.0,2,0.0,0,246.97465000000008,UNSAT,,0.08,
3244,157,2,0.01,0,5.0,4638372,0.01,0.0,2,0.0,0,246.98465000000007,UNSAT,,0.073,
3245,157,3,0.05,0,5.0,9589124,0.05,0.0,2,0.0,0,247.03465000000008,UNSAT,,0.214,
3246,157,3,0.04,0,5.0,1051537,0.04,0.0,2,0.0,0,247.07465000000008,UNSAT,,0.196,
3247,157,4,0.02,0,5.0,11100978,0.02,0.0,2,0.0,0,247.0946500000001,UNSAT,,0.11,
3248,157,1,0.0,0,5.0,1305907,0.0,0.0,2,0.0,0,247.0946500000001,UNSAT,,0.159,
3249,157,5,0.01,0,5.0,16116075,0.01,0.0,2,0.0,0,247.10465000000008,UNSAT,,0.065,
3250,157,2,0.01,0,5.0,1342768,0.01,0.0,2,0.0,0,247.11465000000007,UNSAT,,0.075,
3251,157,4,0.02,0,5.0,4774477,0.02,0.0,2,0.0,0,247.13465000000008,UNSAT,,0.056,
3252,157,1,0.01,0,5.0,3735828,0.01,0.0,2,0.0,0,247.14465000000007,UNSAT,,0.072,
3253,157,2,0.01,0,5.0,12175774,0.01,0.0,2,0.0,0,247.15465000000006,UNSAT,,0.071,
3254,157,3,0.05,0,5.0,9654614,0.05,0.0,2,0.0,0,247.20465000000007,UNSAT,,0.191,
3255,157,5,0.01,0,5.0,1965440,0.01,0.0,2,0.0,0,247.21465000000006,UNSAT,,0.075,
3256,157,1,0.01,0,5.0,109830,0.01,0.0,2,0.0,0,247.22465000000005,UNSAT,,0.075,
3257,157,3,0.05,0,5.0,15364230,0.05,0.0,2,0.0,0,247.27465000000007,UNSAT,,0.245,
3258,157,2,0.01,0,5.0,928505,0.01,0.0,2,0.0,0,247.28465000000006,UNSAT,,0.121,
3259,157,4,0.01,0,5.0,16648935,0.01,0.0,2,0.0,0,247.29465000000005,UNSAT,,0.091,
3260,157,5,0.01,0,5.0,15584856,0.01,0.0,2,0.0,0,247.30465000000004,UNSAT,,0.072,
3261,157,3,0.05,0,5.0,12222313,0.05,0.0,2,0.0,0,247.35465000000005,UNSAT,,0.238,
3262,157,5,0.01,0,5.0,14463924,0.01,0.0,2,0.0,0,247.36465000000004,UNSAT,,0.084,
3263,1030,1,0.01,0,1.0137775767326356,8701423,0.01,0.0,2,0.0,0,247.37465000000003,UNSAT,,0.103,
3264,1031,3,1.0645417798042298,1,1.0645417798042298,15378328,1.02,0.0,0,0.0,0,248.39465000000004,TIMEOUT,,1.862,
3265,1032,2,0.02,0,1.0131476152420045,14371703,0.02,0.0,2,0.0,0,248.41465000000005,UNSAT,,0.094,
3266,1021,4,0.02,0,1.0445953238487244,13262394,0.02,0.0,2,0.0,0,248.43465000000006,UNSAT,,0.112,
3267,1033,5,0.02,0,1.014506720352173,5151053,0.02,0.0,2,0.0,0,248.45465000000007,UNSAT,,0.08,
3268,157,2,0.01,0,5.0,13496442,0.01,0.0,2,0.0,0,248.46465000000006,UNSAT,,0.094,
3269,157,4,0.02,0,5.0,6328910,0.02,0.0,2,0.0,0,248.48465000000007,UNSAT,,0.114,
3270,157,1,0.01,0,5.0,9701235,0.01,0.0,2,0.0,0,248.49465000000006,UNSAT,,0.068,
3271,157,1,0.01,0,5.0,13641616,0.01,0.0,2,0.0,0,248.50465000000005,UNSAT,,0.079,
3272,157,5,0.01,0,5.0,6751579,0.01,0.0,2,0.0,0,248.51465000000005,UNSAT,,0.104,
3273,157,4,0.02,0,5.0,2212735,0.02,0.0,2,0.0,0,248.53465000000006,UNSAT,,0.102,
3274,157,2,0.01,0,5.0,2032138,0.01,0.0,2,0.0,0,248.54465000000005,UNSAT,,0.082,
3275,157,3,0.04,0,5.0,13227840,0.04,0.0,2,0.0,0,248.58465000000004,UNSAT,,0.095,
3276,157,5,0.01,0,5.0,10202309,0.01,0.0,2,0.0,0,248.59465000000003,UNSAT,,0.072,
3277,157,2,0.01,0,5.0,15517862,0.01,0.0,2,0.0,0,248.60465000000002,UNSAT,,0.064,
3278,157,3,0.04,0,5.0,7501420,0.04,0.0,2,0.0,0,248.64465,UNSAT,,0.146,
3279,157,4,0.01,0,5.0,15735815,0.01,0.0,2,0.0,0,248.65465,UNSAT,,0.057,
3280,157,1,0.01,0,5.0,12427827,0.01,0.0,2,0.0,0,248.66465,UNSAT,,0.103,
3281,157,2,0.01,0,5.0,9409094,0.01,0.0,2,0.0,0,248.67464999999999,UNSAT,,0.068,
3282,157,3,0.05,0,5.0,15948173,0.05,0.0,2,0.0,0,248.72465,UNSAT,,0.131,
3283,157,1,0.01,0,5.0,13397740,0.01,0.0,2,0.0,0,248.73465,UNSAT,,0.119,
3284,157,5,0.01,0,5.0,9909860,0.01,0.0,2,0.0,0,248.74464999999998,UNSAT,,0.067,
3285,157,4,0.01,0,5.0,1521961,0.01,0.0,2,0.0,0,248.75464999999997,UNSAT,,0.085,
3286,157,5,0.01,0,5.0,677440,0.01,0.0,2,0.0,0,248.76464999999996,UNSAT,,0.068,
3287,157,2,0.01,0,5.0,16428038,0.01,0.0,2,0.0,0,248.77464999999995,UNSAT,,0.083,
3288,1034,5,0.0,0,1.014546238231659,6631068,0.0,0.0,2,0.0,0,248.77464999999995,UNSAT,,0.079,
3289,1035,1,0.01,0,1.0137093890190125,14338779,0.01,0.0,2,0.0,0,248.78464999999994,UNSAT,,0.075,
3290,1021,5,0.01,0,1.0833964574813844,9060025,0.01,0.0,2,0.0,0,248.79464999999993,UNSAT,,0.053,
3291,1021,3,0.04,0,1.0552891719818116,13486015,0.04,0.0,2,0.0,0,248.83464999999993,UNSAT,,0.126,
3292,1036,2,0.01,0,1.0133397806167603,8404473,0.01,0.0,2,0.0,0,248.84464999999992,UNSAT,,0.078,
3293,1037,1,0.01,0,1.0137093890190125,13828592,0.01,0.0,2,0.0,0,248.8546499999999,UNSAT,,0.074,
3294,157,1,0.01,0,5.0,13982549,0.01,0.0,2,0.0,0,248.8646499999999,UNSAT,,0.062,
3295,157,4,0.02,0,5.0,7828710,0.02,0.0,2,0.0,0,248.8846499999999,UNSAT,,0.133,
3296,157,3,0.05,0,5.0,922673,0.05,0.0,2,0.0,0,248.93464999999992,UNSAT,,0.106,
3297,157,1,0.01,0,5.0,15606873,0.01,0.0,2,0.0,0,248.9446499999999,UNSAT,,0.064,
3298,157,4,0.02,0,5.0,16553501,0.02,0.0,2,0.0,0,248.96464999999992,UNSAT,,0.062,
3299,157,3,0.04,0,5.0,5697453,0.04,0.0,2,0.0,0,249.0046499999999,UNSAT,,0.103,
3300,157,5,0.01,0,5.0,13200845,0.01,0.0,2,0.0,0,249.0146499999999,UNSAT,,0.089,
3301,157,2,0.0,0,5.0,9007203,0.0,0.0,2,0.0,0,249.0146499999999,UNSAT,,0.082,
3302,157,1,0.0,0,5.0,10111161,0.0,0.0,2,0.0,0,249.0146499999999,UNSAT,,0.075,
3303,157,3,0.05,0,5.0,1222131,0.05,0.0,2,0.0,0,249.06464999999992,UNSAT,,0.106,
3304,157,5,0.01,0,5.0,7670429,0.01,0.0,2,0.0,0,249.0746499999999,UNSAT,,0.068,
3305,157,4,0.02,0,5.0,14193797,0.02,0.0,2,0.0,0,249.09464999999992,UNSAT,,0.104,
3306,157,2,0.01,0,5.0,16493139,0.01,0.0,2,0.0,0,249.1046499999999,UNSAT,,0.096,
3307,157,1,0.01,0,5.0,10736399,0.01,0.0,2,0.0,0,249.1146499999999,UNSAT,,0.041,
3308,157,3,0.04,0,5.0,13898760,0.04,0.0,2,0.0,0,249.1546499999999,UNSAT,,0.143,
3309,157,2,0.01,0,5.0,9586188,0.01,0.0,2,0.0,0,249.16464999999988,UNSAT,,0.067,
3310,157,4,0.02,0,5.0,7901595,0.02,0.0,2,0.0,0,249.1846499999999,UNSAT,,0.069,
3311,157,5,0.01,0,5.0,7988125,0.01,0.0,2,0.0,0,249.19464999999988,UNSAT,,0.094,
3312,157,5,0.01,0,5.0,3473647,0.01,0.0,2,0.0,0,249.20464999999987,UNSAT,,0.079,
3313,157,1,0.01,0,5.0,9721770,0.01,0.0,2,0.0,0,249.21464999999986,UNSAT,,0.059,
3314,1034,2,0.01,0,1.026622437286377,2032138,0.01,0.0,2,0.0,0,249.22464999999985,UNSAT,,0.065,
