1: sp-clause-activity-inc='1.0', sp-clause-decay='1.4', sp-clause-del-heur='2', sp-clause-inversion='1', sp-first-restart='100', sp-learned-clause-sort-heur='0', sp-learned-clauses-inc='1.3', sp-learned-size-factor='0.4', sp-max-res-lit-inc='1.0', sp-max-res-runs='4', sp-orig-clause-sort-heur='0', sp-phase-dec-heur='5', sp-rand-phase-dec-freq='0.001', sp-rand-phase-scaling='1.0', sp-rand-var-dec-freq='0.001', sp-rand-var-dec-scaling='1.0', sp-res-cutoff-cls='8', sp-res-cutoff-lits='400', sp-res-order-heur='0', sp-resolution='1', sp-restart-inc='1.5', sp-update-dec-queue='1', sp-use-pure-literal-rule='1', sp-var-activity-inc='1.0', sp-var-dec-heur='0', sp-variable-decay='1.4'
12: sp-clause-activity-inc='0.703036006930275', sp-clause-decay='1.2905569343980186', sp-clause-del-heur='2', sp-clause-inversion='1', sp-first-restart='48', sp-learned-clause-sort-heur='18', sp-learned-clauses-inc='1.3142397796458865', sp-learned-size-factor='0.18628487792420603', sp-max-res-lit-inc='2.452887310331656', sp-max-res-runs='8', sp-orig-clause-sort-heur='15', sp-phase-dec-heur='0', sp-rand-phase-dec-freq='0.005', sp-rand-phase-scaling='1.052547307941508', sp-rand-var-dec-freq='0.0001', sp-rand-var-dec-scaling='0.47477912718847176', sp-res-cutoff-cls='8', sp-res-cutoff-lits='270', sp-res-order-heur='19', sp-resolution='0', sp-restart-inc='1.505011459724576', sp-update-dec-queue='1', sp-use-pure-literal-rule='1', sp-var-activity-inc='1.306580441209913', sp-var-dec-heur='2', sp-variable-decay='1.7231421803191014'
13: sp-clause-activity-inc='1.2465699945740967', sp-clause-decay='1.4617706198148421', sp-clause-del-heur='0', sp-clause-inversion='1', sp-first-restart='1823', sp-learned-clause-sort-heur='9', sp-learned-clauses-inc='1.2309144844024025', sp-learned-size-factor='0.3867331654327035', sp-max-res-lit-inc='0.6591251260368962', sp-max-res-runs='15', sp-orig-clause-sort-heur='15', sp-phase-dec-heur='1', sp-rand-phase-dec-freq='0.005', sp-rand-phase-scaling='0.34553393516517916', sp-rand-var-dec-freq='0.01', sp-rand-var-dec-scaling='0.4732394343761667', sp-res-cutoff-cls='11', sp-res-cutoff-lits='262', sp-res-order-heur='17', sp-resolution='1', sp-restart-inc='1.8921312146113545', sp-update-dec-queue='0', sp-use-pure-literal-rule='0', sp-var-activity-inc='1.0940821185717948', sp-var-dec-heur='15', sp-variable-decay='1.1066634903650407'
14: sp-clause-activity-inc='1.4496533195412584', sp-clause-decay='1.7742087640359054', sp-clause-del-heur='1', sp-clause-inversion='1', sp-first-restart='62', sp-learned-clause-sort-heur='8', sp-learned-clauses-inc='1.1423251241596473', sp-learned-size-factor='0.1770490515401953', sp-max-res-lit-inc='1.2850702789834352', sp-max-res-runs='20', sp-orig-clause-sort-heur='16', sp-phase-dec-heur='5', sp-rand-phase-dec-freq='0.005', sp-rand-phase-scaling='0.6798291083553658', sp-rand-var-dec-freq='0', sp-rand-var-dec-scaling='1.0592019913379287', sp-res-cutoff-cls='13', sp-res-cutoff-lits='1493', sp-res-order-heur='13', sp-resolution='0', sp-restart-inc='1.8689086857505697', sp-update-dec-queue='0', sp-use-pure-literal-rule='1', sp-var-activity-inc='0.9854312562504534', sp-var-dec-heur='10', sp-variable-decay='1.0226883989236348'
15: sp-clause-activity-inc='0.813827174396201', sp-clause-decay='1.2651544956461072', sp-clause-del-heur='1', sp-clause-inversion='0', sp-first-restart='1572', sp-learned-clause-sort-heur='11', sp-learned-clauses-inc='1.488063417579157', sp-learned-size-factor='0.528088583812067', sp-max-res-lit-inc='3.4205250133346876', sp-max-res-runs='28', sp-orig-clause-sort-heur='10', sp-phase-dec-heur='6', sp-rand-phase-dec-freq='0.05', sp-rand-phase-scaling='0.7499274630625281', sp-rand-var-dec-freq='0.05', sp-rand-var-dec-scaling='0.8783353328137133', sp-res-cutoff-cls='18', sp-res-cutoff-lits='142', sp-res-order-heur='16', sp-resolution='0', sp-restart-inc='1.6391966065031331', sp-update-dec-queue='1', sp-use-pure-literal-rule='0', sp-var-activity-inc='1.3829929697687393', sp-var-dec-heur='18', sp-variable-decay='1.5182131178662903'
16: sp-clause-activity-inc='1.2260238076431833', sp-clause-decay='1.3735039709276573', sp-clause-del-heur='2', sp-clause-inversion='0', sp-first-restart='2888', sp-learned-clause-sort-heur='5', sp-learned-clauses-inc='1.1905751477137354', sp-learned-size-factor='0.8168165413203559', sp-max-res-lit-inc='1.9397539349064192', sp-max-res-runs='2', sp-orig-clause-sort-heur='2', sp-phase-dec-heur='5', sp-rand-phase-dec-freq='0.05', sp-rand-phase-scaling='0.3056470955608658', sp-rand-var-dec-freq='0', sp-rand-var-dec-scaling='0.46986178860679295', sp-res-cutoff-cls='3', sp-res-cutoff-lits='680', sp-res-order-heur='5', sp-resolution='0', sp-restart-inc='1.8904376611416596', sp-update-dec-queue='1', sp-use-pure-literal-rule='1', sp-var-activity-inc='0.8736526339431944', sp-var-dec-heur='11', sp-variable-decay='1.0566632981941693'
17: sp-clause-activity-inc='0.6329240364958187', sp-clause-decay='1.4319887012950085', sp-clause-del-heur='2', sp-clause-inversion='1', sp-first-restart='1205', sp-learned-clause-sort-heur='19', sp-learned-clauses-inc='1.272880971455969', sp-learned-size-factor='0.770228651698949', sp-max-res-lit-inc='0.39948481840567696', sp-max-res-runs='4', sp-orig-clause-sort-heur='14', sp-phase-dec-heur='0', sp-rand-phase-dec-freq='0.01', sp-rand-phase-scaling='0.5450300678624658', sp-rand-var-dec-freq='0.01', sp-rand-var-dec-scaling='0.7799602397890641', sp-res-cutoff-cls='2', sp-res-cutoff-lits='100', sp-res-order-heur='5', sp-resolution='2', sp-restart-inc='1.5480418690817024', sp-update-dec-queue='1', sp-use-pure-literal-rule='1', sp-var-activity-inc='0.9773064939349181', sp-var-dec-heur='10', sp-variable-decay='1.2171593116581123'
18: sp-clause-activity-inc='0.7811139979577482', sp-clause-decay='1.156910373857349', sp-clause-del-heur='2', sp-clause-inversion='0', sp-first-restart='309', sp-learned-clause-sort-heur='12', sp-learned-clauses-inc='1.3396412499906356', sp-learned-size-factor='0.21885519161359457', sp-max-res-lit-inc='1.248426742267862', sp-max-res-runs='5', sp-orig-clause-sort-heur='10', sp-phase-dec-heur='6', sp-rand-phase-dec-freq='0.01', sp-rand-phase-scaling='0.3127916771169715', sp-rand-var-dec-freq='0.005', sp-rand-var-dec-scaling='0.7003553782382008', sp-res-cutoff-cls='8', sp-res-cutoff-lits='646', sp-res-order-heur='0', sp-resolution='2', sp-restart-inc='1.1977304782741895', sp-update-dec-queue='1', sp-use-pure-literal-rule='1', sp-var-activity-inc='1.1588157604099203', sp-var-dec-heur='17', sp-variable-decay='1.2666235595975968'
19: sp-clause-activity-inc='1.2200208238651293', sp-clause-decay='1.1160258962986929', sp-clause-del-heur='1', sp-clause-inversion='0', sp-first-restart='607', sp-learned-clause-sort-heur='1', sp-learned-clauses-inc='1.4148153264415257', sp-learned-size-factor='0.23012852017533206', sp-max-res-lit-inc='0.8404841525660104', sp-max-res-runs='1', sp-orig-clause-sort-heur='7', sp-phase-dec-heur='2', sp-rand-phase-dec-freq='0', sp-rand-phase-scaling='0.44131068262854356', sp-rand-var-dec-freq='0.001', sp-rand-var-dec-scaling='0.6580939208695871', sp-res-cutoff-cls='10', sp-res-cutoff-lits='427', sp-res-order-heur='14', sp-resolution='0', sp-restart-inc='1.7938360631029675', sp-update-dec-queue='0', sp-use-pure-literal-rule='0', sp-var-activity-inc='0.7053725661113518', sp-var-dec-heur='9', sp-variable-decay='1.5041565468447629'
20: sp-clause-activity-inc='0.504271033838548', sp-clause-decay='1.3333052190051045', sp-clause-del-heur='0', sp-clause-inversion='0', sp-first-restart='464', sp-learned-clause-sort-heur='15', sp-learned-clauses-inc='1.1019744686286645', sp-learned-size-factor='0.11357699497052284', sp-max-res-lit-inc='2.108631146452124', sp-max-res-runs='8', sp-orig-clause-sort-heur='1', sp-phase-dec-heur='1', sp-rand-phase-dec-freq='0.0001', sp-rand-phase-scaling='0.6790540597139235', sp-rand-var-dec-freq='0.01', sp-rand-var-dec-scaling='0.6705406122845323', sp-res-cutoff-cls='3', sp-res-cutoff-lits='1152', sp-res-order-heur='16', sp-resolution='1', sp-restart-inc='1.5438464602800241', sp-update-dec-queue='1', sp-use-pure-literal-rule='0', sp-var-activity-inc='1.1340396546264744', sp-var-dec-heur='5', sp-variable-decay='1.7555496228019867'
21: sp-clause-activity-inc='0.703036006930275', sp-clause-decay='1.2905569343980186', sp-clause-del-heur='2', sp-clause-inversion='1', sp-first-restart='48', sp-learned-clause-sort-heur='13', sp-learned-clauses-inc='1.3142397796458865', sp-learned-size-factor='0.18628487792420603', sp-max-res-lit-inc='2.452887310331656', sp-max-res-runs='8', sp-orig-clause-sort-heur='16', sp-phase-dec-heur='4', sp-rand-phase-dec-freq='0.005', sp-rand-phase-scaling='1.052547307941508', sp-rand-var-dec-freq='0.01', sp-rand-var-dec-scaling='0.47477912718847176', sp-res-cutoff-cls='8', sp-res-cutoff-lits='270', sp-res-order-heur='19', sp-resolution='0', sp-restart-inc='1.505011459724576', sp-update-dec-queue='1', sp-use-pure-literal-rule='0', sp-var-activity-inc='1.306580441209913', sp-var-dec-heur='2', sp-variable-decay='1.7231421803191014'
